title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo 1.5 BlueHDi 130 XL S&S EHZ EAT8 Control Variospace,17500.0,Fairer Preis,105723.0,05/2020,Automatik,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo M BlueHDi 130 Stop&Start Shine,17500.0,Sehr guter Preis,85500.0,03/2020,Schaltgetriebe,Diesel,96 kW (131 PS),"4,2 l/100 km (komb.)",111 g/km (komb.)
Citroen Berlingo 1.5 Blue-HDi Feel M Aut.*TEMPO*PDC*,17600.0,Fairer Preis,107938.0,03/2019,Automatik,Diesel,96 kW (131 PS),"4,5 l/100 km (komb.)",150 g/km (komb.)
Citroen Berlingo Live Pack M,17778.0,Sehr guter Preis,55890.0,01/2023,Schaltgetriebe,Diesel,75 kW (102 PS),- (l/100 km),- (g/km)
Citroen Berlingo Feel M *NAVI*DAB*KINDERPAKET*SHZ*,17850.0,Fairer Preis,69980.0,09/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,4 l/100 km (komb.)",123 g/km (komb.)
"Citroen Berlingo Feel M 1,2 Turbo / Automatik / Euro 6 / TÜV NEU",17850.0,Sehr guter Preis,91261.0,12/2019,Automatik,Benzin,96 kW (131 PS),"5,6 l/100 km (komb.)",127 g/km (komb.)
Citroen Berlingo Shine 1.5 BHDi 130 °Navi°HUD°SHZ°ACC°,17870.0,Sehr guter Preis,88900.0,05/2020,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo 1.5 Blue-HDi Rip Curl M*TEMPO*NAVI*CAM*PDC*SHZ*,17880.0,Fairer Preis,94167.0,08/2021,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",137 g/km (komb.)
Citroen Berlingo FeelM,17900.0,Fairer Preis,22500.0,04/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,7 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo XL BlueHDi 130 FEEL,17900.0,Sehr guter Preis,64812.0,01/2019,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Shine XL Automatik/,17900.0,Guter Preis,98600.0,08/2019,Automatik,Diesel,96 kW (131 PS),"4,4 l/100 km (komb.)",117 g/km (komb.)
Citroen Berlingo Feel M,17950.0,Keine Angabe,109000.0,01/2019,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",111 g/km (komb.)
Citroen Berlingo Feel XL Behindertengerecht-Rampe,17950.0,Fairer Preis,265414.0,06/2019,Automatik,Diesel,96 kW (131 PS),"4,4 l/100 km (komb.)",117 g/km (komb.)
Citroen Berlingo SHINE XL NAV+HUD+KAMERA+ALU+AHK+1HD+TÜV,17970.0,Erhöhter Preis,149800.0,02/2019,Schaltgetriebe,Diesel,96 kW (131 PS),"4,4 l/100 km (komb.)",116 g/km (komb.)
Citroen Berlingo Feel XL PureTech 130 S&S EAT8 AHK,17980.0,Guter Preis,110800.0,10/2020,Automatik,Benzin,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo M BlueHDi 130 FEEL,17985.0,Sehr guter Preis,87100.0,08/2020,Schaltgetriebe,Diesel,96 kW (131 PS),"6,2 l/100 km (komb.)",162 g/km (komb.)
Citroen Berlingo Shine M 1.5 BlueHDi AHK STANDHEIZUNG PDC KAMERA SH,17990.0,Guter Preis,131990.0,01/2019,Automatik,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Feel M 1.2 PT 110 AHK-abnehmbar Navi CarPlay Klima,17990.0,Fairer Preis,87000.0,03/2019,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo Feel M Neuer org. Motor 10 KM Mit Werksgarantie,17990.0,Erhöhter Preis,106000.0,12/2018,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",115 g/km (komb.)
Citroen Berlingo Feel Pack M/Navi/RFK,18000.0,Fairer Preis,99400.0,02/2021,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Shine XL,18100.0,Guter Preis,117090.0,10/2019,Automatik,Benzin,96 kW (131 PS),"5,6 l/100 km (komb.)",162 g/km (komb.)
Citroen Berlingo Live M 1.5 BlueHDi 100 FAP Stop&Start 75 kW (10...,18290.0,Guter Preis,30000.0,12/2019,Schaltgetriebe,Diesel,75 kW (102 PS),"5,1 l/100 km (komb.)",106 g/km (komb.)
Citroen Berlingo Live M 1.5 BlueHDi 100 FAP Stop&Start 75 kW (10...,18290.0,Guter Preis,30000.0,12/2019,Schaltgetriebe,Diesel,75 kW (102 PS),"5,1 l/100 km (komb.)",106 g/km (komb.)
Citroen Berlingo Shine M 1.2 KAMERA NAVI PDC SHZ HEAD UP,18490.0,Fairer Preis,79890.0,12/2019,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo M BlueHDi 100 FEEL Standh.,18490.0,Fairer Preis,58909.0,07/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"6,7 l/100 km (komb.)",176 g/km (komb.)
Citroen Berlingo L1 1.2 PureTech *10''Touchscreen*,18551.0,Keine Angabe,10.0,- (Erstzulassung),Schaltgetriebe,Benzin,100 kW (136 PS),"6,4 l/100 km (komb.)",143 g/km (komb.)
Citroen Berlingo Shine M Automatik PANO-AHK-KAMERA,18690.0,Fairer Preis,115000.0,07/2019,Automatik,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",115 g/km (komb.)
Citroen Berlingo Shine M1.5 HDi / Panorama / Navi / R-Kamera,18700.0,Fairer Preis,104325.0,10/2020,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo PureTech 110 S&S LIVE *NAV*PDC*APPLE*ANDROID*DAB*,18750.0,Guter Preis,56900.0,12/2020,Schaltgetriebe,Benzin,81 kW (110 PS),"5,3 l/100 km (komb.)",122 g/km (komb.)
Citroen Berlingo 1.2 PureTech Shine M Kinderpaket+Drive-Assist-Pake,18790.0,Fairer Preis,72547.0,07/2019,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo M PureTech 110 SHINE XTR Glasdach Navi Kamera Shz.,18790.0,Fairer Preis,70590.0,08/2018,Schaltgetriebe,Benzin,81 kW (110 PS),"5,4 l/100 km (komb.)",124 g/km (komb.)
Citroen Berlingo Live M Pure 7 Sitze Klima SHZ,18799.0,Guter Preis,48000.0,11/2019,Schaltgetriebe,Sonstige,81 kW (110 PS),"5,3 l/100 km (komb.)",123 g/km (komb.)
Citroen Berlingo Rollstuhlrampe Behindertengerecht,18850.0,Hoher Preis,15000.0,11/2018,Schaltgetriebe,Benzin,72 kW (98 PS),"6,4 l/100 km (komb.)",152 g/km (komb.)
Citroen Berlingo M PureTech 130 EAT8 SHINE *HUD*AHK*CAM*,18880.0,Guter Preis,97003.0,11/2019,Automatik,Benzin,96 kW (131 PS),- (l/100 km),0 g/km (komb.)
Citroen Berlingo 1.5 HDi  XL/L2 Doppelkabine VarioSpace,18890.0,Fairer Preis,86348.0,12/2020,Schaltgetriebe,Diesel,96 kW (131 PS),"4,5 l/100 km (komb.)",119 g/km (komb.)
Citroen Berlingo Control XL/L2 Doppelkabine VarioSpace/Navi,18900.0,Guter Preis,73508.0,08/2021,Automatik,Diesel,96 kW (131 PS),"4,6 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Feel XL AU/HU NEU/Garantie/1Hand/Kamera,18900.0,Fairer Preis,114000.0,06/2020,Automatik,Benzin,96 kW (131 PS),"5,3 l/100 km (komb.)",121 g/km (komb.)
Citroen Berlingo Shine M City 3 Drive-Assist Komfortp Grip-Control,18950.0,Fairer Preis,48000.0,01/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,7 l/100 km (komb.)",130 g/km (komb.)
Citroen Berlingo 1.2 M PT 110 SHINE PANO+HUD+CARPLAY+AHK,18950.0,Erhöhter Preis,74100.0,09/2018,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo Berlingo M Elektro 136 LIVE PACK KLIMA+EFH+DAB+,18970.0,Guter Preis,32900.0,10/2022,Automatik,Elektro,100 kW (136 PS),,0 g/km (komb.)
Citroen Berlingo BERLINGO SHINE +AUTOM+APPLE-NAVI+AHK+R.KAMERA,18980.0,Sehr guter Preis,94500.0,03/2019,Automatik,Diesel,96 kW (131 PS),"4,2 l/100 km (komb.)",111 g/km (komb.)
Citroen Berlingo Live XL 7 Sitzer Klima AHK,18980.0,Fairer Preis,56400.0,12/2019,Schaltgetriebe,Sonstige,81 kW (110 PS),"5,3 l/100 km (komb.)",122 g/km (komb.)
"Citroen Berlingo Shine M Automatik, Glasdach, Kamera, ..",18980.0,Fairer Preis,99775.0,10/2019,Automatik,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",115 g/km (komb.)
Citroen Berlingo 1.5 HDI XL 7 Sitze+AHK+Sitzhzg.+Alu,18990.0,Keine Angabe,106000.0,03/2019,Schaltgetriebe,Diesel,96 kW (131 PS),"4,4 l/100 km (komb.)",116 g/km (komb.)
Citroen Berlingo Live XL 1.5 Blue-HDI FAP,18990.0,Guter Preis,66727.0,06/2021,Schaltgetriebe,Diesel,96 kW (131 PS),- (l/100 km),- (g/km)
Citroen Berlingo Live  *2.HAND/ROLLSTUHLGERECHT*,18990.0,Erhöhter Preis,41000.0,07/2017,Schaltgetriebe,Benzin,72 kW (98 PS),"6,4 l/100 km (komb.)",152 g/km (komb.)
Citroen Berlingo Feel M 1.2 PureTech*RFK*SmartP-Navi*Android,18990.0,Hoher Preis,97414.0,08/2019,Schaltgetriebe,Benzin,81 kW (110 PS),- (l/100 km),- (g/km)
Citroen Berlingo Shine XL  *7 SITZER * 2 x Schiebtüre,18999.0,Fairer Preis,94000.0,06/2020,Automatik,Diesel,96 kW (131 PS),"4,2 l/100 km (komb.)",111 g/km (komb.)
Citroen Berlingo Live M*Klima*TÜV Neu*Ganzjahr*FES*BC*,18999.0,Fairer Preis,45000.0,07/2019,Schaltgetriebe,Benzin,81 kW (110 PS),"5,5 l/100 km (komb.)",126 g/km (komb.)
Citroen Berlingo 1.5 HDI Feel M + TÜV NEU,18999.0,Fairer Preis,98200.0,12/2018,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",115 g/km (komb.)
Citroen Berlingo Feel M Klima BC 8fach AHK,19190.0,Fairer Preis,53990.0,06/2019,Schaltgetriebe,Diesel,96 kW (131 PS),"4,5 l/100 km (komb.)",119 g/km (komb.)
Citroen Berlingo Rip Curl M | PDC+Kamera | AHK | 16`Alu,19200.0,Guter Preis,99000.0,03/2021,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
