title,price,price_label,mileage,first_registration,transmission,fuel_type,power,consumption,cO2_emissions
Citroen Berlingo 1.6 HDI Kasten Niveau B L2 Klima AHK,8790.0,Keine Angabe,180000.0,05/2014,Schaltgetriebe,Diesel,66 kW (90 PS),"6,0 l/100 km (komb.)",157 g/km (komb.)
Citroen Berlingo Kasten Business L2+Kamera+Bluetooth,8900.0,Keine Angabe,73989.0,09/2018,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo 1.6 - 55kw,8900.0,Fairer Preis,61800.0,08/2017,Schaltgetriebe,Diesel,55 kW (75 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Kasten Business L1. 3 Sitzer,8900.0,Sehr guter Preis,81000.0,02/2017,Schaltgetriebe,Benzin,72 kW (98 PS),"6,5 l/100 km (komb.)",150 g/km (komb.)
Citroen Berlingo BERLINGO KASTEN/AUTOMATIK/TEMPOMAT/AHK/SITZHZG.,8900.0,Sehr guter Preis,106870.0,04/2016,Automatik,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",110 g/km (komb.)
Citroen Berlingo Business L1*Euro 6*Klima*Tempomat*,8900.0,Erhöhter Preis,113700.0,05/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Kasten Business L2,8950.0,Guter Preis,86200.0,08/2016,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Kasten Control M/L1,8990.0,Keine Angabe,148790.0,03/2020,Schaltgetriebe,Diesel,75 kW (102 PS),"4,4 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Kasten Electric 13'tkm Reifen NEU,8999.0,Guter Preis,13000.0,10/2017,Automatik,Elektro,49 kW (67 PS),- (l/100 km),0 g/km (komb.)
Citroen Berlingo 600 2.0 HDi,9100.0,Keine Angabe,149000.0,01/2018,Schaltgetriebe,Diesel,66 kW (90 PS),"5,5 l/100 km (komb.)",- (g/km)
Citroen Berlingo Kasten Club M/L1 TÜV & Service Neu,9298.0,Fairer Preis,189213.0,07/2019,Schaltgetriebe,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo Kasten Worker  1.6 HDI M/L1*PDC*Navi,9450.0,Sehr guter Preis,109202.0,03/2019,Schaltgetriebe,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",109 g/km (komb.)
Citroen Berlingo Kasten Business L2*1.Hand*Mwst.*Klima,9490.0,Guter Preis,123700.0,06/2015,Schaltgetriebe,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",110 g/km (komb.)
"Citroen Berlingo 1.6 Kasten VTI 95 L1 ""Business"" - 1.Hd./60 TKM",9500.0,Keine Angabe,59800.0,11/2017,Schaltgetriebe,Benzin,72 kW (98 PS),"6,5 l/100 km (komb.)",150 g/km (komb.)
Citroen Berlingo Club XL/L2,9750.0,Keine Angabe,156100.0,03/2019,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",112 g/km (komb.)
Citroen Berlingo Kasten Kasten 2x Schiebetür Klima TÜV,9790.0,Fairer Preis,164800.0,01/2019,Schaltgetriebe,Diesel,55 kW (75 PS),"4,4 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Business L1 Klima AHK,9900.0,Sehr guter Preis,101970.0,05/2016,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Kasten Profi L1 ZV 1HAND OHNE KLIMA,9990.0,Sehr guter Preis,46900.0,02/2019,Schaltgetriebe,Benzin,72 kW (98 PS),"6,5 l/100 km (komb.)",154 g/km (komb.)
Citroen Berlingo 1.6 HDI 3Sitzer*Hygieneausbau*Catering,9999.0,Guter Preis,87850.0,12/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Berlingo L1 1.6 BlueHDi 100 Service Solution,9999.0,Fairer Preis,75000.0,01/2018,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",- (g/km)
"Citroen Berlingo XL BlueHDi Lang Top Zustand , TÜV & Serv. NEU",10000.0,Fairer Preis,200000.0,05/2019,Schaltgetriebe,Diesel,96 kW (131 PS),"4,3 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Kasten Club XL/L2,10000.0,Sehr guter Preis,133440.0,09/2019,Schaltgetriebe,Diesel,75 kW (102 PS),"4,2 l/100 km (komb.)",113 g/km (komb.)
Citroen Berlingo Kasten L1 Proline LED Kamera Bluetooth,10450.0,Fairer Preis,64000.0,11/2017,Schaltgetriebe,Diesel,55 kW (75 PS),"4,3 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo Kasten Club*3-Sitzer*Klima*Tempomat,10490.0,Guter Preis,92000.0,05/2019,Schaltgetriebe,Diesel,55 kW (75 PS),"4,4 l/100 km (komb.)",114 g/km (komb.)
Citroen Berlingo L1 1.6,10650.0,Sehr guter Preis,45200.0,12/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,2 l/100 km (komb.)",110 g/km (komb.)
Citroen Berlingo Kasten Business L1 * TÜV & SERVICE NEU*,10990.0,Keine Angabe,80170.0,12/2017,Schaltgetriebe,Diesel,73 kW (99 PS),"4,3 l/100 km (komb.)",112 g/km (komb.)
Citroen Berlingo Kasten Club M/L1/TEMPOMAT/NAVI/PDC/KAM,10990.0,Fairer Preis,111500.0,11/2019,Schaltgetriebe,Diesel,55 kW (75 PS),"4,2 l/100 km (komb.)",112 g/km (komb.)
