title,price,price_label,mileage,first_registration,transmission,fuel_type,power_kW,power_PS,consumption,co2_emissions,vehicle_type,age_months,age_years
Citroen Berlingo Berlingo Feel M 1.5 Blue HDI 130 Automatik,9500,Sehr guter Preis,210000,2019-03-01,Automatik,Diesel,96,131,,,minivan,74,6
Citroen Berlingo BlueHDI 120 XTR AHK,9500,Keine Angabe,118400,2017-04-01,Schaltgetriebe,Diesel,88,120,,,minivan,97,8
Citroen Berlingo Multispace BlueHDi 100 S&S ETG6 SELECTION,9600,Guter Preis,135000,2016-05-01,Automatik,Diesel,73,99,4.2,,minivan,108,9
Citroen Berlingo Selection*PDC*TAGFAHRLICHT*GJREIFEN*,9600,Fairer Preis,163460,2017-08-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,93,7
Citroen Berlingo Kombi Selection Automatik Panorama,9750,Fairer Preis,125000,2013-05-01,Automatik,Diesel,68,92,5.0,133.0,minivan,144,12
Citroen Berlingo Kombi Selection*1.HD*Klima*TÜV NEU,9790,Sehr guter Preis,80258,2015-05-01,Schaltgetriebe,Diesel,84,114,5.3,140.0,minivan,120,10
Citroen Berlingo Kombi Shine*Automatik*Scheckheft*,9790,Sehr guter Preis,160000,2017-08-01,Automatik,Diesel,73,99,4.1,109.0,minivan,93,7
"Citroen Berlingo Selection 1.6L, Euro 6, KLima HU/AU Neu",9799,Guter Preis,121850,2016-05-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,108,9
Citroen Berlingo 1.5 BlueHDi 130 FAP Shine M,9900,Sehr guter Preis,199890,2019-02-01,Schaltgetriebe,Diesel,96,131,,,minivan,75,6
Citroen Berlingo Multispace BlueHDi 100 SELECTION,9900,Sehr guter Preis,35000,2016-01-01,Schaltgetriebe,Diesel,73,99,4.3,113.0,minivan,112,9
Citroen Berlingo Multispace 1.6 VTi  Selection *Pano,9950,Fairer Preis,124000,2014-05-01,Schaltgetriebe,Benzin,88,120,7.5,173.0,minivan,132,11
Citroen Berlingo Kombi Selection*1.HD*Klima*Blueto.*Isof,9950,Fairer Preis,121544,2018-02-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,87,7
"Citroen Berlingo Kombi 1.6 Shine *7-Sitz,Klima,PDC,Tempo",9980,Guter Preis,143408,2017-08-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,93,7
Citroen Berlingo 1.2 PT 110 Shine AHK-abnehmbar Klimaautom DAB SHZ,9990,Sehr guter Preis,114190,2016-09-01,Schaltgetriebe,Benzin,81,110,,,minivan,104,8
Citroen Berlingo Selection *PANO*KAMERA*NAVI*DAB*AHK*,9990,Guter Preis,132000,2016-04-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,109,9
Citroen Berlingo Multispace VTi 95 SELECTION PDC/Tempomat,9990,Sehr guter Preis,92900,2017-11-01,Schaltgetriebe,Benzin,72,98,6.4,148.0,minivan,90,7
"Citroen Berlingo Kombi Silver Selection,Klima,Inspek+TÜV",9990,Fairer Preis,84000,2012-11-01,Schaltgetriebe,Benzin,88,120,7.5,173.0,minivan,150,12
Citroen Berlingo Live M,9990,Sehr guter Preis,132000,2019-09-01,Schaltgetriebe,Benzin,81,110,5.5,126.0,minivan,68,5
Citroen Berlingo Selection HDi 115 FAP Zahnriemen-Neu,9999,Fairer Preis,144000,2014-09-01,Schaltgetriebe,Diesel,84,114,,,minivan,128,10
Citroen Berlingo Kombi Shine/PANO/GARANTIE/KLIMA/EURO 6/,9999,Sehr guter Preis,149650,2016-09-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,104,8
Citroen Berlingo Feel XL,10000,Fairer Preis,299000,2021-04-01,Schaltgetriebe,Diesel,96,131,4.3,113.0,minivan,49,4
Citroen Berlingo Berlingo 1.2 PureTech 110 FEEL LED NAVI KAMERA,10000,Sehr guter Preis,171500,2019-09-01,Schaltgetriebe,Benzin,81,110,5.4,,minivan,68,5
Citroen Berlingo 1.6 VTi Selection  Multispace,10000,Fairer Preis,130500,2017-03-01,Schaltgetriebe,Benzin,88,120,6.5,154.0,minivan,98,8
Citroen Berlingo Berlingo 1.6D Multispace HDi 90 FAP Selection,10000,Fairer Preis,95000,2015-03-01,Schaltgetriebe,Diesel,68,92,5.2,,minivan,122,10
Citroen Berlingo Start M/ TÜV Neu//12 Mon Gewährleistung,10234,Fairer Preis,202132,2018-12-01,Schaltgetriebe,Diesel,75,102,4.2,111.0,minivan,77,6
"Citroen Berlingo Kombi Shine, 1.Hand, AHK, SH, Temp., BT",10300,Guter Preis,134800,2016-09-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,104,8
Citroen Berlingo 1.6 Selection*TEMPO*PDC*KLIMA*GARANTIE*,10330,Fairer Preis,112352,2015-04-01,Schaltgetriebe,Benzin,72,98,7.1,155.0,minivan,121,10
Citroen Berlingo Kombi Selection*2.Hd*Klima*Tempomat*AHK,10400,Sehr guter Preis,113600,2016-10-01,Schaltgetriebe,Diesel,73,99,4.3,113.0,minivan,103,8
"Citroen Berlingo Kombi 1.6 BlueHDi XTR PDC,Kinderpaket",10490,Guter Preis,122455,2017-06-01,Schaltgetriebe,Diesel,73,99,,,minivan,95,7
Citroen Berlingo Live M,10490,Sehr guter Preis,108895,2019-08-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,69,5
Citroen Berlingo Kombi Selection Wagen Nr.:120,10490,Fairer Preis,110000,2016-09-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,104,8
Citroen Berlingo Kombi Selection*1Hand*Navi*LED*PDC*Blue,10499,Fairer Preis,164000,2018-06-01,Schaltgetriebe,Benzin,81,110,,,minivan,83,6
Citroen Berlingo Start XL,10500,Keine Angabe,152000,2019-04-01,N/A,Diesel,75,102,4.4,115.0,minivan,73,6
Citroen Berlingo Kombi Shine,10650,Fairer Preis,160000,2016-01-01,Schaltgetriebe,Diesel,88,120,4.4,117.0,minivan,112,9
Citroen Berlingo 1.2T Live M  2xSCHIEBETÜR/SPURASSISTENT,10660,Sehr guter Preis,87090,2019-07-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,70,5
Citroen Berlingo Berlingo Multispace VTi 120 SELECTION,10750,Sehr guter Preis,65000,2016-02-01,Schaltgetriebe,Benzin,88,120,6.5,,minivan,111,9
Citroen Berlingo Multispace BlueHDi 100 S&S SELECTION,10790,Guter Preis,107000,2016-07-01,Schaltgetriebe,Diesel,73,99,4.1,109.0,minivan,106,8
"Citroen Berlingo 1,2l PureTech Selection 75152km !",10800,Sehr guter Preis,75152,2016-10-01,Schaltgetriebe,Benzin,81,110,,,minivan,103,8
