title,price,price_label,mileage,first_registration,transmission,fuel_type,power_kW,power_PS,consumption,co2_emissions,vehicle_type,age_months,age_years
Citroen Berlingo M PureTech 110 FEEL,16950,Erhöhter Preis,83350,2019-07-01,Schaltgetriebe,Benzin,81,110,7.5,170.0,minivan,70,5
Citroen Berlingo 1.2PureTech 110 Live Pack M Klima,16980,Sehr guter Preis,30791,2023-01-01,Schaltgetriebe,Benzin,81,110,,,minivan,28,2
Citroen Berlingo Live M,16990,Keine Angabe,15500,2020-05-01,Schaltgetriebe,Benzin,81,110,5.4,123.0,minivan,60,5
Citroen Berlingo M PureTech 110 FEEL,16990,Sehr guter Preis,34285,2019-01-01,Schaltgetriebe,Benzin,81,110,5.5,125.0,minivan,76,6
Citroen Berlingo 1.5 BlueHDi 100 FAP Live M AHK SpurH,16990,Fairer Preis,67866,2018-09-01,Schaltgetriebe,Diesel,75,102,,,minivan,80,6
Citroen Berlingo Feel M PureTech 110 Sitzhzg. AHK-abnehmbar Apple C,16990,Sehr guter Preis,54857,2019-08-01,Schaltgetriebe,Benzin,81,110,,,minivan,69,5
Citroen Berlingo Feel M*1.Hand*SH-gepfl.*Nr.43,16990,Guter Preis,84900,2019-12-01,Schaltgetriebe,Diesel,96,131,4.4,116.0,minivan,65,5
Citroen Berlingo Kombi Selection+1.Hand+22.400KM+PDC,16990,Hoher Preis,22400,2015-10-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,115,9
Citroen Berlingo Shine 1.2 PureTech 110 Pano+Navi+PDC v/h+Cam+Klima,16990,Fairer Preis,67800,2018-01-01,Schaltgetriebe,Benzin,81,110,,119.0,minivan,88,7
Citroen Berlingo 1.5 BlueHDi 130 AHK PDC,16995,Keine Angabe,125000,2020-07-01,Schaltgetriebe,Diesel,96,131,4.5,120.0,minivan,58,4
Citroen Berlingo XL  7 Sitzen,16999,Erhöhter Preis,118900,2020-08-01,Schaltgetriebe,Benzin,81,110,5.3,122.0,minivan,57,4
"Citroen Berlingo Shine M,Navi+Kamera+Headup+Alu+DAB",16999,Sehr guter Preis,106541,2021-04-01,Schaltgetriebe,Diesel,96,131,4.3,113.0,minivan,49,4
Citroen Berlingo Kombi*1.Hand*Klimaaut*Navi*AHK*PDC*FES,16999,Erhöhter Preis,60000,2017-09-01,Schaltgetriebe,Benzin,81,110,5.1,119.0,minivan,92,7
Citroen Berlingo 1.5 BlueHDi 130 Shine M,17390,Fairer Preis,107317,2019-11-01,Schaltgetriebe,Benzin,96,131,,,minivan,66,5
Citroen Berlingo Feel M,17390,Fairer Preis,86600,2018-10-01,Schaltgetriebe,Diesel,96,131,,,minivan,79,6
Citroen Berlingo Feel 1.5 BHDi 130 °AHK°PDC°SHZ°Tempomat°,17470,Guter Preis,84600,2019-11-01,Schaltgetriebe,Diesel,96,131,,,minivan,66,5
Citroen Berlingo M PureTech 110 LIVE,17485,Fairer Preis,57734,2020-10-01,Schaltgetriebe,Benzin,81,110,7.5,170.0,minivan,55,4
Citroen Berlingo 1.2 PureTech 110 M,17490,Fairer Preis,41200,2019-03-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,74,6
Citroen Berlingo Live Pack Elektromotor M 136 *1.Hand,17500,Sehr guter Preis,17950,2022-11-01,Automatik,Elektro,100,136,0.0,0.0,minivan,30,2
Citroen Berlingo M PureTech 110 FEEL,17500,Sehr guter Preis,58963,2020-09-01,Schaltgetriebe,Benzin,81,110,7.5,170.0,minivan,56,4
Citroen Berlingo 1.5 BlueHDi 130 XL S&S EHZ EAT8 Control Variospace,17500,Fairer Preis,105723,2020-05-01,Automatik,Diesel,96,131,,,minivan,60,5
Citroen Berlingo M BlueHDi 130 Stop&Start Shine,17500,Sehr guter Preis,85500,2020-03-01,Schaltgetriebe,Diesel,96,131,4.2,111.0,minivan,62,5
Citroen Berlingo 1.5 Blue-HDi Feel M Aut.*TEMPO*PDC*,17600,Fairer Preis,107938,2019-03-01,Automatik,Diesel,96,131,4.5,150.0,minivan,74,6
Citroen Berlingo Live Pack M,17778,Sehr guter Preis,55890,2023-01-01,Schaltgetriebe,Diesel,75,102,,,minivan,28,2
Citroen Berlingo Feel M *NAVI*DAB*KINDERPAKET*SHZ*,17850,Fairer Preis,69980,2019-09-01,Schaltgetriebe,Benzin,81,110,5.4,123.0,minivan,68,5
"Citroen Berlingo Feel M 1,2 Turbo / Automatik / Euro 6 / TÜV NEU",17850,Sehr guter Preis,91261,2019-12-01,Automatik,Benzin,96,131,5.6,127.0,minivan,65,5
Citroen Berlingo 1.5 Blue-HDi Rip Curl M*TEMPO*NAVI*CAM*PDC*SHZ*,17880,Fairer Preis,94167,2021-08-01,Schaltgetriebe,Diesel,75,102,4.2,137.0,minivan,45,3
Citroen Berlingo FeelM,17900,Fairer Preis,22500,2019-04-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,73,6
Citroen Berlingo XL BlueHDi 130 FEEL,17900,Sehr guter Preis,64812,2019-01-01,Schaltgetriebe,Diesel,96,131,,,minivan,76,6
Citroen Berlingo Shine XL Automatik/,17900,Guter Preis,98600,2019-08-01,Automatik,Diesel,96,131,4.4,117.0,minivan,69,5
Citroen Berlingo Feel M,17950,Keine Angabe,109000,2019-01-01,Schaltgetriebe,Diesel,75,102,4.2,111.0,minivan,76,6
Citroen Berlingo Feel XL Behindertengerecht-Rampe,17950,Fairer Preis,265414,2019-06-01,Automatik,Diesel,96,131,4.4,117.0,minivan,71,5
Citroen Berlingo SHINE XL NAV+HUD+KAMERA+ALU+AHK+1HD+TÜV,17970,Erhöhter Preis,149800,2019-02-01,Schaltgetriebe,Diesel,96,131,4.4,116.0,minivan,75,6
Citroen Berlingo M BlueHDi 130 FEEL,17985,Sehr guter Preis,87100,2020-08-01,Schaltgetriebe,Diesel,96,131,6.2,162.0,minivan,57,4
Citroen Berlingo Feel M 1.2 PT 110 AHK-abnehmbar Navi CarPlay Klima,17990,Fairer Preis,87000,2019-03-01,Schaltgetriebe,Benzin,81,110,,,minivan,74,6
Citroen Berlingo Feel M Neuer org. Motor 10 KM Mit Werksgarantie,17990,Erhöhter Preis,106000,2018-12-01,Schaltgetriebe,Diesel,96,131,4.3,115.0,minivan,77,6
Citroen Berlingo Feel Pack M/Navi/RFK,18000,Fairer Preis,99400,2021-02-01,Schaltgetriebe,Diesel,96,131,4.3,113.0,minivan,51,4
Citroen Berlingo Live M 1.5 BlueHDi 100 FAP Stop&Start 75 kW (10...,18290,Guter Preis,30000,2019-12-01,Schaltgetriebe,Diesel,75,102,5.1,106.0,minivan,65,5
Citroen Berlingo Shine M 1.2 KAMERA NAVI PDC SHZ HEAD UP,18490,Fairer Preis,79890,2019-12-01,Schaltgetriebe,Benzin,81,110,,,minivan,65,5
Citroen Berlingo M BlueHDi 100 FEEL Standh.,18490,Fairer Preis,58909,2020-07-01,Schaltgetriebe,Diesel,75,102,6.7,176.0,minivan,58,4
Citroen Berlingo L1 1.2 PureTech *10''Touchscreen*,18551,Keine Angabe,10,2025-05-01,Schaltgetriebe,Benzin,100,136,6.4,143.0,minivan,0,0
Citroen Berlingo Shine M Automatik PANO-AHK-KAMERA,18690,Fairer Preis,115000,2019-07-01,Automatik,Diesel,96,131,4.3,115.0,minivan,70,5
Citroen Berlingo Shine M1.5 HDi / Panorama / Navi / R-Kamera,18700,Fairer Preis,104325,2020-10-01,Schaltgetriebe,Diesel,96,131,4.3,113.0,minivan,55,4
Citroen Berlingo PureTech 110 S&S LIVE *NAV*PDC*APPLE*ANDROID*DAB*,18750,Guter Preis,56900,2020-12-01,Schaltgetriebe,Benzin,81,110,5.3,122.0,minivan,53,4
Citroen Berlingo 1.2 PureTech Shine M Kinderpaket+Drive-Assist-Pake,18790,Fairer Preis,72547,2019-07-01,Schaltgetriebe,Benzin,81,110,,,minivan,70,5
Citroen Berlingo M PureTech 110 SHINE XTR Glasdach Navi Kamera Shz.,18790,Fairer Preis,70590,2018-08-01,Schaltgetriebe,Benzin,81,110,5.4,124.0,minivan,81,6
Citroen Berlingo Live M Pure 7 Sitze Klima SHZ,18799,Guter Preis,48000,2019-11-01,Schaltgetriebe,Benzin,81,110,5.3,123.0,minivan,66,5
Citroen Berlingo Rollstuhlrampe Behindertengerecht,18850,Hoher Preis,15000,2018-11-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,78,6
Citroen Berlingo M PureTech 130 EAT8 SHINE *HUD*AHK*CAM*,18880,Guter Preis,97003,2019-11-01,Automatik,Benzin,96,131,,0.0,minivan,66,5
Citroen Berlingo 1.5 HDi  XL/L2 Doppelkabine VarioSpace,18890,Fairer Preis,86348,2020-12-01,Schaltgetriebe,Diesel,96,131,4.5,119.0,minivan,53,4
Citroen Berlingo Control XL/L2 Doppelkabine VarioSpace/Navi,18900,Guter Preis,73508,2021-08-01,Automatik,Diesel,96,131,4.6,121.0,minivan,45,3
Citroen Berlingo Feel XL AU/HU NEU/Garantie/1Hand/Kamera,18900,Fairer Preis,114000,2020-06-01,Automatik,Benzin,96,131,5.3,121.0,minivan,59,4
Citroen Berlingo Shine M City 3 Drive-Assist Komfortp Grip-Control,18950,Fairer Preis,48000,2019-01-01,Schaltgetriebe,Benzin,81,110,5.7,130.0,minivan,76,6
Citroen Berlingo 1.2 M PT 110 SHINE PANO+HUD+CARPLAY+AHK,18950,Erhöhter Preis,74100,2018-09-01,Schaltgetriebe,Benzin,81,110,,,minivan,80,6
Citroen Berlingo Berlingo M Elektro 136 LIVE PACK KLIMA+EFH+DAB+,18970,Guter Preis,32900,2022-10-01,Automatik,Elektro,100,136,0.0,0.0,minivan,31,2
Citroen Berlingo BERLINGO SHINE +AUTOM+APPLE-NAVI+AHK+R.KAMERA,18980,Sehr guter Preis,94500,2019-03-01,Automatik,Diesel,96,131,4.2,111.0,minivan,74,6
Citroen Berlingo Live XL 7 Sitzer Klima AHK,18980,Fairer Preis,56400,2019-12-01,Schaltgetriebe,Benzin,81,110,5.3,122.0,minivan,65,5
"Citroen Berlingo Shine M Automatik, Glasdach, Kamera, ..",18980,Fairer Preis,99775,2019-10-01,Automatik,Diesel,96,131,4.3,115.0,minivan,67,5
Citroen Berlingo 1.5 HDI XL 7 Sitze+AHK+Sitzhzg.+Alu,18990,Keine Angabe,106000,2019-03-01,Schaltgetriebe,Diesel,96,131,4.4,116.0,minivan,74,6
Citroen Berlingo Live XL 1.5 Blue-HDI FAP,18990,Guter Preis,66727,2021-06-01,Schaltgetriebe,Diesel,96,131,,,minivan,47,3
Citroen Berlingo Live  *2.HAND/ROLLSTUHLGERECHT*,18990,Erhöhter Preis,41000,2017-07-01,Schaltgetriebe,Benzin,72,98,6.4,152.0,minivan,94,7
Citroen Berlingo Feel M 1.2 PureTech*RFK*SmartP-Navi*Android,18990,Hoher Preis,97414,2019-08-01,Schaltgetriebe,Benzin,81,110,,,minivan,69,5
Citroen Berlingo Shine XL  *7 SITZER * 2 x Schiebtüre,18999,Fairer Preis,94000,2020-06-01,Automatik,Diesel,96,131,4.2,111.0,minivan,59,4
Citroen Berlingo Live M*Klima*TÜV Neu*Ganzjahr*FES*BC*,18999,Fairer Preis,45000,2019-07-01,Schaltgetriebe,Benzin,81,110,5.5,126.0,minivan,70,5
Citroen Berlingo 1.5 HDI Feel M + TÜV NEU,18999,Fairer Preis,98200,2018-12-01,Schaltgetriebe,Diesel,96,131,4.3,115.0,minivan,77,6
Citroen Berlingo Feel M Klima BC 8fach AHK,19190,Fairer Preis,53990,2019-06-01,Schaltgetriebe,Diesel,96,131,4.5,119.0,minivan,71,5
Citroen Berlingo Rip Curl M | PDC+Kamera | AHK | 16`Alu,19200,Guter Preis,99000,2021-03-01,Schaltgetriebe,Diesel,96,131,4.3,113.0,minivan,50,4
Citroen Berlingo Shine XL 1.5 BlueHDi 130 FAP,19290,Fairer Preis,111370,2020-09-01,Schaltgetriebe,Diesel,96,131,5.6,146.0,minivan,56,4
Citroen Berlingo M PureTech 110 SHINE Panoramadach,19490,Fairer Preis,48200,2019-05-01,Schaltgetriebe,Benzin,81,110,5.4,124.0,minivan,72,6
Citroen Berlingo Feel 1.5 Diesel/SHZ/KLIMA/CAM,19490,Fairer Preis,29245,2020-11-01,Schaltgetriebe,Diesel,75,102,4.1,107.0,minivan,54,4
Citroen Berlingo PureTech 110 XTR EU6d-T,19490,Fairer Preis,62766,2019-05-01,Schaltgetriebe,Benzin,81,110,,,minivan,72,6
Citroen Berlingo Shine M 5Sitze  CarPlay LED SHZ PDC AHK,19500,Sehr guter Preis,78000,2021-02-01,Automatik,Diesel,96,131,4.2,111.0,minivan,51,4
Citroen Berlingo Berlingo Kombi Diesel 5-Türer M BlueHDi 100FEEL,19500,Sehr guter Preis,59000,2021-05-01,Schaltgetriebe,Diesel,75,102,4.3,116.0,minivan,48,4
Citroen Berlingo eBerlingo M LivePack Elektro Klima Einparkhilfe,19690,Guter Preis,15318,2022-12-01,Automatik,Elektro,100,136,0.0,0.0,minivan,29,2
Citroen Berlingo XTR Pack XL | PDC+Kamera | AHK | 16`Alu,19800,Fairer Preis,99000,2021-05-01,Schaltgetriebe,Diesel,96,131,4.3,113.0,minivan,48,4
Citroen Berlingo Berlingo+MPV+M+BlueHDi+100+LIVE+PACK,19800,Guter Preis,24000,2022-12-01,Schaltgetriebe,Diesel,75,102,,,minivan,29,2
Citroen Berlingo Shine M/AHZV/Sitzh./Kamera/HeadUp,19890,Fairer Preis,92695,2020-08-01,Automatik,Benzin,96,131,5.6,127.0,minivan,57,4
"Citroen Berlingo M BlueHDi 130 SHINE, AHK, Kamera, Sitzh",19900,Erhöhter Preis,121800,2020-12-01,Schaltgetriebe,Diesel,96,131,,,minivan,53,4
Citroen Berlingo Shine M Automatik PANO-AHK-KAMERA,19900,Guter Preis,88000,2019-08-01,Automatik,Diesel,96,131,4.3,115.0,minivan,69,5
Citroen Berlingo Shine M  | 1.HAND| PANO-DACH | HEAD-UP,19900,Guter Preis,107960,2021-03-01,Automatik,Diesel,96,131,4.5,118.0,minivan,50,4
"Citroen Berlingo Feel M, AHK, get.Heckscheibe",19950,Keine Angabe,69247,2020-01-01,Schaltgetriebe,Diesel,96,131,4.3,112.0,minivan,64,5
"Citroen Berlingo 1,2 PureTech 110 Feel NAVI DAB PDC",19950,Fairer Preis,17421,2021-06-01,Schaltgetriebe,Benzin,81,110,,,minivan,47,3
Citroen Berlingo M PureTech EAT8 Shine,19980,Keine Angabe,68512,2020-05-01,Automatik,Benzin,96,131,,,minivan,60,5
Citroen Berlingo Feel Pack M *Automatik*,19990,Sehr guter Preis,88499,2021-05-01,Automatik,Benzin,96,131,6.4,127.0,minivan,48,4
Citroen Berlingo S&S FEEL 360Kam*Tempo*Klimaauto,19990,Fairer Preis,49960,2021-05-01,Schaltgetriebe,Benzin,81,110,,145.0,minivan,48,4
Citroen Berlingo Live Pack M Elektro,19990,Sehr guter Preis,16397,2023-03-01,Automatik,Elektro,100,136,0.0,0.0,minivan,26,2
"Citroen Berlingo Feel Pack M Navi, Bluetooth DIESEL",19990,Fairer Preis,66717,2021-08-01,Schaltgetriebe,Diesel,75,102,4.2,111.0,minivan,45,3
"Citroen Berlingo Feel M **SHZ, 1.Hand**",19990,Fairer Preis,49800,2021-04-01,Schaltgetriebe,Diesel,75,102,,,minivan,49,4
Citroen Berlingo 1.2 PureTech 130 Shine M Klima,19990,Sehr guter Preis,58100,2019-12-01,Automatik,Benzin,96,131,,,minivan,65,5
Citroen Berlingo Shine M Panoramadach Sitzheizg Navi,19990,Hoher Preis,99753,2018-11-01,Schaltgetriebe,Diesel,96,131,,,minivan,78,6
Citroen Berlingo Feel M Navi Klima AWR,19990,Erhöhter Preis,52000,2020-09-01,Schaltgetriebe,Diesel,75,102,,,minivan,56,4
Citroen Berlingo Standhzg AHK Klima Navi SHZ PDC Kamera,19990,Sehr guter Preis,51100,2019-09-01,Schaltgetriebe,Diesel,96,131,5.3,139.0,minivan,68,5
Citroen Berlingo PureTech 110 Klimaaut PDC Touchscreen Privacy,19999,Keine Angabe,11500,2020-09-01,Schaltgetriebe,Benzin,81,110,,,minivan,56,4
Citroen Berlingo Berlingo Shine M/Automatik/Kamera/HeadUp/PDC/ZV,19999,Fairer Preis,94000,2020-10-01,Automatik,Diesel,96,131,,,minivan,55,4
Citroen Berlingo Shine M 1.Hand Automatik 7 Sitze DAB Cam AHK,19999,Fairer Preis,99200,2019-01-01,Automatik,Diesel,96,131,4.5,118.0,minivan,76,6
Citroen Berlingo PureTech 110 Klima/Sitzhzg/PDC/Tempomat,19999,Fairer Preis,31990,2021-01-01,Schaltgetriebe,Benzin,81,110,,,minivan,52,4
Citroen Berlingo Shine M 1.2 PureTech 110 EU6d HUD Navi Apple CarPl,20650,Fairer Preis,31000,2019-09-01,Schaltgetriebe,Benzin,81,110,6.9,200.0,minivan,68,5
Citroen Berlingo Feel M PureTech 110 AWR Navi Apple CarPlay Android,20850,Guter Preis,28633,2022-02-01,Schaltgetriebe,Benzin,81,110,6.5,147.0,minivan,39,3
Citroen Berlingo Feel 1.2 110 Navi 360°Kamera DAB Sitzheizung,20890,Keine Angabe,55800,2020-10-01,Schaltgetriebe,Benzin,81,110,5.3,122.0,minivan,55,4
Citroen Berlingo Feel 1.2 110 Navi 360°Kamera DAB Sitzheizung,20890,Keine Angabe,58000,2020-11-01,Schaltgetriebe,Benzin,81,110,5.3,122.0,minivan,54,4
Citroen Berlingo Live 7 Sitze Klima,20900,Fairer Preis,15800,2019-12-01,Schaltgetriebe,Benzin,81,110,5.3,123.0,minivan,65,5
Citroen Berlingo Feel 1.5 BlueHDi 130 FAP EU6d M BHD 130 HUD AHK-ab,20950,Sehr guter Preis,55005,2020-07-01,Schaltgetriebe,Diesel,96,131,,,minivan,58,4
Citroen Berlingo Kombi Feel Behindertengerecht-Rampe,20950,Erhöhter Preis,70514,2016-12-01,Schaltgetriebe,Diesel,73,99,4.3,114.0,minivan,101,8
Citroen Berlingo 1.5 HDi Shine XL 7. Sitzer - HUD (14),20950,Fairer Preis,105000,2021-04-01,Automatik,Diesel,96,131,4.2,111.0,minivan,49,4
Citroen Berlingo Shine M*Navi*Kamera*DAB*1.Hand*Head-up*,20990,Fairer Preis,87688,2020-12-01,Automatik,Benzin,96,131,5.6,127.0,minivan,53,4
"Citroen Berlingo Shine XL Sitzhnzg, Klima",20990,Fairer Preis,82200,2019-05-01,Schaltgetriebe,Diesel,96,131,4.5,119.0,minivan,72,6
Citroen Berlingo XTR Shine M Auto Pano Navi STHZ AHK LED,20990,Erhöhter Preis,113500,2019-02-01,Automatik,Diesel,96,131,,,minivan,75,6
Citroen Berlingo Feel M KLIMAAUTO CAM SITZHEIZ. APPLE,20990,Fairer Preis,33650,2022-01-01,Schaltgetriebe,Benzin,81,110,,145.0,minivan,40,3
Citroen Berlingo PureTech 110 M Klimaaut/Camping-Box/PDC,20999,Erhöhter Preis,35160,2019-07-01,Schaltgetriebe,Benzin,81,110,5.4,124.0,minivan,70,5
Citroen Berlingo 1.5 Blue-HDi Shine M *NAVI*HEAD-UP*ACC*CAM*PDC*SHZ,21290,Fairer Preis,57877,2020-01-01,Schaltgetriebe,Diesel,96,131,4.3,150.0,minivan,64,5
Citroen Berlingo M PureTech 130 EAT8 SHINE,21350,Sehr guter Preis,68000,2020-11-01,Automatik,Benzin,96,131,,,minivan,54,4
Citroen Berlingo Shine XL,21490,Guter Preis,86177,2020-10-01,Automatik,Benzin,96,131,7.0,158.0,minivan,55,4
Citroen Berlingo Shine XL 7-SITZER°ACC°HEAD-UP°KAMERA,21490,Erhöhter Preis,93200,2019-11-01,Schaltgetriebe,Diesel,96,131,4.5,118.0,minivan,66,5
Citroen Berlingo Feel Automatik | Navi | PDC+Kamera |AHK,21500,Sehr guter Preis,55000,2019-07-01,Automatik,Diesel,96,131,4.3,115.0,minivan,70,5
Citroen Berlingo M BlueHDi 100 FEEL,21500,Guter Preis,105450,2020-09-01,Schaltgetriebe,Diesel,75,102,6.7,176.0,minivan,56,4
Citroen Berlingo Berlingo M PureTech 110 Feel,21500,Guter Preis,6000,2020-11-01,Schaltgetriebe,Benzin,81,110,5.3,122.0,minivan,54,4
Citroen Berlingo Shine M Navi|ACC|HeadUp|Kamera|SHZ|PDC,21527,Fairer Preis,67074,2020-11-01,Schaltgetriebe,Diesel,96,131,,,minivan,54,4
Citroen Berlingo Shine M 1.2 PureTech 110 7-Sitzer Navi Apple CarPl,21690,Fairer Preis,56652,2019-07-01,Schaltgetriebe,Benzin,81,110,7.2,164.0,minivan,70,5
Citroen Berlingo Feel Elektromotor M SHZ PDC DAB,21750,Fairer Preis,25782,2022-01-01,Automatik,Elektro,100,136,0.0,0.0,minivan,40,3
Citroen Berlingo 1.5 BlueHDi 130 FAP FEEL M AHK SITZHZG DAB+,21750,Erhöhter Preis,67928,2019-05-01,Automatik,Diesel,96,131,,,minivan,72,6
Citroen Berlingo Shine M Automatik+Kamera+Navi+DAB,21850,Keine Angabe,59880,2020-08-01,Automatik,Benzin,96,131,5.6,127.0,minivan,57,4
Citroen Berlingo Shine M Blue HDi130 XTR  Standheizung,21900,Sehr guter Preis,46200,2020-10-01,Schaltgetriebe,Diesel,96,131,4.3,113.0,minivan,55,4
Citroen Berlingo Feel Pack M |NAVI|TEMPO.|PDC|SPURH.|AHK,21900,Guter Preis,40900,2021-02-01,Schaltgetriebe,Diesel,96,131,4.3,,minivan,51,4
"Citroen Berlingo Shine XL, Navi, Kamera, AHK, Klimaautomatik",21900,Fairer Preis,69800,2021-03-01,Schaltgetriebe,Diesel,96,131,,,minivan,50,4
Citroen Berlingo M PureTech 110 FEEL,21900,Fairer Preis,28000,2023-01-01,Schaltgetriebe,Benzin,81,110,6.0,156.0,minivan,28,2
"Citroen Berlingo Feel M, Rückfahrkamera, Navigation",21950,Keine Angabe,56665,2020-05-01,Schaltgetriebe,Diesel,96,131,4.3,112.0,minivan,60,5
Citroen Berlingo Shine XTR PANO AHK ACC HeadUp 1-Hand,21980,Guter Preis,94000,2018-11-01,Automatik,Diesel,96,131,4.5,118.0,minivan,78,6
Citroen Berlingo Live Pack PureTech 110 1.2,21980,Keine Angabe,28000,2022-11-01,Schaltgetriebe,Benzin,81,110,7.0,122.0,minivan,30,2
Citroen Berlingo 1.5 BlueHDi 130 FAP Shine XL 7-Sitze,21980,Keine Angabe,126804,2021-04-01,Schaltgetriebe,Diesel,96,131,,,minivan,49,4
Citroen Berlingo 1.6 VTi 95 EU6 Selection behindertengerecht,21980,Keine Angabe,81500,2016-09-01,Schaltgetriebe,Benzin,72,98,,,minivan,104,8
Citroen Berlingo Feel M Automatik SHZ PDC Navi Cam,21980,Fairer Preis,47300,2020-04-01,Automatik,Benzin,96,131,5.6,127.0,minivan,61,5
Citroen Berlingo Kombi Selection~Handgas~Rollstuhlrampe,21990,Sehr guter Preis,39657,2014-08-01,Automatik,Diesel,68,92,5.0,133.0,minivan,129,10
Citroen Berlingo 1.2 PureTech Feel M Aut.*TEMPO*PDC*KLIMA*,21990,Guter Preis,24326,2020-04-01,Automatik,Benzin,96,131,5.6,157.0,minivan,61,5
Citroen Berlingo Feel Elektromotor M Klima Einparkhilfe,21990,Sehr guter Preis,19750,2023-04-01,Automatik,Elektro,100,136,0.0,0.0,minivan,25,2
Citroen Berlingo 1.5 HDI MPV Shine M,21999,Sehr guter Preis,80200,2023-03-01,Automatik,Diesel,96,131,,,minivan,26,2
Citroen Berlingo Feel Pack M,22000,Sehr guter Preis,23750,2023-07-01,Schaltgetriebe,Diesel,96,131,,,minivan,22,1
"Citroen Berlingo MPV 100 You 10""-DAB PDC SafetyP Temp",22188,Keine Angabe,10,2024-11-01,Schaltgetriebe,Diesel,75,102,5.5,143.0,minivan,6,0
Citroen Berlingo M PureTech 110 FEEL / 7 Sitze / Navi,22250,Guter Preis,53375,2020-10-01,Schaltgetriebe,Benzin,81,110,5.4,123.0,minivan,55,4
Citroen Berlingo Berlingo XL PureTech 110 Feel 7 Sitzer AZV PDC,22445,Fairer Preis,28875,2023-02-01,Schaltgetriebe,Benzin,81,110,4.8,122.0,minivan,27,2
Citroen Berlingo Feel M Carplay/ACC/Pano/SHZ/PDC/Kam,22480,Erhöhter Preis,38100,2020-10-01,Schaltgetriebe,Benzin,81,110,,,minivan,55,4
Citroen Berlingo BERLINGO M BLUEHDI 130 SHINE,22490,Sehr guter Preis,48010,2022-07-01,Schaltgetriebe,Diesel,96,131,,0.0,minivan,34,2
Citroen Berlingo M PureTech 130 EAT8 FEEL,22550,Keine Angabe,40000,2022-01-01,Automatik,Benzin,96,131,7.0,159.0,minivan,40,3
Citroen Berlingo Feel XL Navivorb.Klimaautom.,22600,Erhöhter Preis,15900,2021-02-01,Schaltgetriebe,Benzin,81,110,5.5,125.0,minivan,51,4
Citroen Berlingo BERLINGO Kawa PureTech 110 1.2,22680,Keine Angabe,100,2025-05-01,Schaltgetriebe,Benzin,81,110,6.3,142.0,minivan,0,0
"Citroen Berlingo MPV 100 You 10""-DAB PDC SafetyP Temp 75 kW (102...",22688,Keine Angabe,10,2024-11-01,Schaltgetriebe,Diesel,75,102,5.5,143.0,minivan,6,0
Citroen Berlingo BlueHDi 100 M Plus RFK/LED -21%*,22780,Keine Angabe,10,2024-11-01,Schaltgetriebe,Diesel,75,102,6.3,139.0,minivan,6,0
Citroen Berlingo M PT110 Feel | Navi - SH - RCam - TW,22790,Keine Angabe,46800,2020-11-01,Schaltgetriebe,Benzin,81,110,6.4,145.0,minivan,54,4
Citroen Berlingo Feel Pack XL,22800,Sehr guter Preis,62773,2021-06-01,Automatik,Benzin,96,131,7.0,159.0,minivan,47,3
Citroen Berlingo 1.5 HDI XL 7-Sitze+Automatik+Standhzg,22850,Keine Angabe,85800,2019-08-01,Automatik,Diesel,96,131,4.4,117.0,minivan,69,5
Citroen Berlingo Shine M Kamera/Android/PDC,22880,Sehr guter Preis,7907,2023-05-01,Automatik,Elektro,100,136,0.0,0.0,minivan,24,2
Citroen Berlingo M Elektro 136 Shine Kamera CarPlay Lichtsensor,22890,Erhöhter Preis,28100,2022-12-01,Automatik,Elektro,100,136,0.0,0.0,minivan,29,2
Citroen Berlingo M Elektro 5-Sitzer Klima DAB-Radio PDC hinten,22890,Erhöhter Preis,40000,2023-03-01,Automatik,Elektro,57,77,0.0,0.0,minivan,26,2
Citroen Berlingo 1.2 PureTech 110 M NAVI KAMERA SH  Shine,22890,Hoher Preis,46100,2019-06-01,Schaltgetriebe,Benzin,81,110,,,minivan,71,5
Citroen Berlingo XL BlueHDi 130 S&S Shine,22900,Sehr guter Preis,65200,2021-05-01,Schaltgetriebe,Diesel,96,131,5.4,142.0,minivan,48,4
Citroen Berlingo 1.2 PureTech 110 MPV Feel PDC LM SpurH,22900,Keine Angabe,10,2024-06-01,Schaltgetriebe,Benzin,80,109,7.1,160.0,minivan,11,0
Citroen Berlingo BERLINGO MPV  BLUEHDI 130 S&S FEEL,22900,Sehr guter Preis,21260,2023-07-01,Schaltgetriebe,Diesel,96,131,,0.0,minivan,22,1
Citroen Berlingo 1.2 Feel M,22900,Guter Preis,50000,2021-06-01,Automatik,Benzin,96,131,,,minivan,47,3
Citroen Berlingo Elektro,22900,Sehr guter Preis,28000,2023-05-01,Automatik,Elektro,100,136,0.0,0.0,minivan,24,2
Citroen Berlingo Shine XL Navi Automatik,22950,Fairer Preis,92400,2020-11-01,Automatik,Diesel,96,131,4.2,111.0,minivan,54,4
"Citroen Berlingo 1,5 BlueHDI 100 Feel 7-Sitzer PDC",22960,Keine Angabe,54900,2020-05-01,Schaltgetriebe,Diesel,75,102,,,minivan,60,5
Citroen Berlingo Plus M PureTech 110 S&S Plus,22980,Keine Angabe,4500,2024-12-01,Schaltgetriebe,Benzin,81,110,6.4,143.0,minivan,5,0
